abandon'd	abandoned
abas'd	abased
abash'd	abashed
abhor'd	abhorred
abhorr'd	abhorred
abjur'd	abjured
abolish'd	abolished
above-mention'd	above-mentioned
above-nam'd	above-named
abovemention'd	abovementioned
abovenam'd	abovenamed
abridg'd	abridged
absolv'd	absolved
absorb'd	absorbed
abstain'd	abstained
absur'd	absurd
abus'd	abused
accompany'd	accompanied
accomplish'd	accomplished
accouter'd	accoutered
accru'd	accrued
accurs'd	accursed
accus'd	accused
accustom'd	accustomed
ach'd	ached
achiev'd	achieved
acknowledg'd	acknowledged
acknowleg'd	acknowledged
acquiesc'd	acquiesced
acquir'd	acquired
address'd	addressed
adduc'd	adduced
adher'd	adhered
adjoin'd	adjoined
adjourn'd	adjourned
adjudg'd	adjudged
adjur'd	adjured
administer'd	administered
admir'd	admired
admonish'd	admonished
ador'd	adored
adorn'd	adorned
advanc'd	advanced
advantag'd	advantaged
advent'rer	adventurer
advent'rous	adventurous
adventur'd	adventured
advertis'd	advertised
advis'd	advised
afear'd	afeared
affianc'd	affianced
affirm'd	affirmed
affix'd	affixed
affray'd	afraid
aforemention'd	aforementioned
ag'd	aged
aggrandiz'd	aggrandised
aggriev'd	aggrieved
agoniz'd	agonised
ail'd	ailed
ailwou'd	would
aim'd	aimed
air'd	aired
ak'd	ached
alarm'd	alarmed
allarm'd	alarmed
allay'd	allayed
alledg'd	alleged
alleg'd	alleged
allow'd	allowed
alloy'd	alloyed
allur'd	allured
ally'd	allied
alter'd	altered
am'rous	amorous
amass'd	amassed
amaz'd	amazed
ambush'd	ambushed
amerc'd	amerced
amus'd	amused
anatomiz'd	anatomised
anchor'd	anchored
anger'd	angered
anguish'd	anguished
annex'd	annexed
announc'd	announced
annoy'd	annoyed
annul'd	annulled
annull'd	annulled
answ'ring	answering
answer'd	answered
ap'd	aped
appal'd	appalled
appall'd	appalled
apparel'd	apparelled
apparell'd	apparelled
appeal'd	appealed
appear'd	appeared
appeas'd	appeased
appli'd	applied
apply'd	applied
apprentic'd	apprenticed
appris'd	apprised
appriz'd	apprized
approach'd	approached
approv'd	approved
arch'd	arched
argu'd	argued
arm'd	armed
arous'd	aroused
arouz'd	aroused
arraign'd	arraigned
arrang'd	arranged
array'd	arrayed
arriv'd	arrived
ascertain'd	ascertained
ascrib'd	ascribed
asham'd	ashamed
ask'd	asked
aspers'd	aspersed
aspir'd	aspired
assail'd	assailed
assay'd	assayed
assembl'd	assembled
assign'd	assigned
assuag'd	assuaged
assum'd	assumed
assur'd	assured
asswag'd	assuaged
astonish'd	astonished
astony'd	astonished
atchiev'd	achieved
aton'd	atoned
attach'd	attached
